Iron Cross, Shoulders," Chest, Glutes, Hamstrings, Lower Back, Quadriceps, Traps"
Iron Crosses (stretch), Quadriceps,none
Isometric Chest Squeezes, Chest," Shoulders, Triceps"
Isometric Neck Exercise - Front And Back, Neck,none
Isometric Neck Exercise - Sides, Neck,none
Isometric Wipers, Chest," Abdominals, Shoulders, Triceps"
IT Band and Glute Stretch, Abductors,none
Jackknife Sit-Up, Abdominals,none
Janda Sit-Up, Abdominals,none
Jefferson Squats, Quadriceps," Calves, Glutes, Hamstrings, Lower Back, Traps"
Jerk Balance, Shoulders," Glutes, Hamstrings, Quadriceps, Triceps"
Jerk Dip Squat, Quadriceps," Abdominals, Calves"
JM Press, Triceps," Chest, Shoulders"
Jogging-Treadmill, Quadriceps," Glutes, Hamstrings"
Keg Load, Lower Back," Abdominals, Biceps, Calves, Forearms, Glutes, Hamstrings, Middle Back, Quadriceps, Shoulders, Traps"
Kettlebell Arnold Press, Shoulders, Triceps
Kettlebell Dead Clean, Hamstrings," Calves, Glutes, Lower Back, Quadriceps, Traps"
Kettlebell Figure 8, Abdominals," Hamstrings, Shoulders"
Kettlebell Hang Clean, Hamstrings," Calves, Glutes, Lower Back, Shoulders, Traps"
Kettlebell One-Legged Deadlift, Hamstrings," Glutes, Lower Back"
Kettlebell Pass Between The Legs, Abdominals," Glutes, Hamstrings, Shoulders"
Kettlebell Pirate Ships, Shoulders, Abdominals
Kettlebell Pistol Squat, Quadriceps," Calves, Glutes, Hamstrings, Shoulders"
Kettlebell Seated Press, Shoulders, Triceps
Kettlebell Seesaw Press, Shoulders, Triceps
Kettlebell Sumo High Pull, Traps," Adductors, Glutes, Hamstrings, Quadriceps, Shoulders"
Kettlebell Thruster, Shoulders," Quadriceps, Triceps"
Kettlebell Turkish Get-Up (Lunge style), Shoulders," Abdominals, Hamstrings, Quadriceps, Triceps"
Kettlebell Turkish Get-Up (Squat style), Shoulders," Abdominals, Calves, Hamstrings, Quadriceps, Triceps"
Kettlebell Windmill, Abdominals," Glutes, Hamstrings, Shoulders, Triceps"
Kipping Muscle Up, Lats," Abdominals, Biceps, Forearms, Middle Back, Shoulders, Traps, Triceps"
Knee Across The Body, Glutes," Abductors, Lower Back"
Knee Circles, Calves," Hamstrings, Quadriceps"
Knee Tuck Jump, Hamstrings," Abductors, Adductors, Calves, Glutes, Quadriceps"
Knee/Hip Raise On Parallel Bars, Abdominals,none
Kneeling Arm Drill, Shoulders, Abdominals
Kneeling Cable Crunch With Alternating Oblique Twists, Abdominals,none
Kneeling Cable Triceps Extension, Triceps,none
Kneeling Forearm Stretch, Forearms,none
Kneeling High Pulley Row, Lats," Biceps, Middle Back"
Kneeling Hip Flexor, Quadriceps, Quadriceps
Kneeling Jump Squat, Glutes," Calves, Hamstrings, Quadriceps"
